model,overall,agricultural-and-biological-sciences,arts-and-humanities,biochemistry-genetics-and-molecular-biology,business-management-and-accounting,chemical-engineering,chemistry,computer-science,decision-sciences,earth-and-planetary-sciences,economics-econometrics-and-finance,energy,engineering,environmental-science,immunology-and-microbiology,materials-science,mathematics,medicine,neuroscience,nursing,pharmacology-toxicology-and-pharmaceutics,physics-and-astronomy,psychology,social-sciences,veterinary,dentistry,health-professions,timestamp
smollm2:135m,88.6654,87.1,84.1,91.2,86.5,93.8,95.6,90.3,89.3,87.3,84.4,92.2,93.4,89.7,88.3,93.9,92.0,86.2,88.0,88.2,89.7,92.7,88.0,82.7,84.0,83.1,83.6,2025-11-10T02:35:58.393969
smollm:135m,50.5,59.3,59.8,40.4,50.4,34.3,35.1,50.6,48.2,61.2,31.0,62.7,53.4,61.4,47.4,47.0,36.8,68.0,57.1,70.0,27.8,48.6,43.0,45.7,73.7,49.2,50.9,2025-11-10T02:44:38.185156
gemma3:270m,76.3923,72.1,78.7,61.4,81.0,79.6,82.6,83.5,84.6,68.4,81.9,81.7,85.9,79.5,65.5,74.2,79.1,79.6,83.0,77.3,49.3,66.5,85.7,77.5,74.7,76.9,76.0,2025-11-10T02:56:22.429684
smollm2:360m,85.4769,86.1,75.4,89.8,84.2,92.0,93.8,87.3,82.6,84.0,81.8,90.2,91.8,88.0,85.7,90.7,82.2,85.1,86.0,86.7,87.1,89.1,77.8,78.7,81.3,81.9,83.1,2025-11-10T03:04:22.288752
smollm:360m,85.2346,81.8,76.4,85.4,84.5,90.7,91.1,88.7,87.7,80.6,82.5,89.0,91.1,83.6,83.3,89.7,90.1,84.9,84.2,85.7,85.4,89.4,85.2,79.2,82.0,81.4,82.5,2025-11-10T03:12:15.435537
qwen:0.5b,30.2577,31.2,12.7,23.7,6.4,39.9,42.5,27.6,26.6,36.3,11.5,40.4,41.5,34.3,36.5,44.9,29.6,39.5,35.4,43.2,37.6,35.4,16.5,16.0,22.6,30.4,24.5,2025-11-10T03:23:25.995809
qwen2:0.5b,-1.1423,4.8,2.1,-0.3,-26.5,-5.2,6.9,-2.3,-7.9,6.9,-1.1,-4.5,0.1,3.7,-1.7,-5.3,9.8,-1.1,0.4,-0.8,-2.0,3.8,4.1,2.1,-5.5,-5.2,-5.0,2025-11-10T03:33:07.555082
qwen2.5:0.5b,85.5962,83.4,80.9,86.3,81.2,92.2,93.9,87.9,86.3,84.7,75.6,90.2,90.6,86.4,83.8,91.5,88.5,85.3,87.2,86.8,85.7,86.8,86.8,79.1,81.2,81.3,81.9,2025-11-10T03:42:42.118800
